,0,1,2,3,4
91,2021-03-07 13:23:33,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",GAURAVT98021733,,en
92,2021-03-07 13:23:31,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",BeraniKajal2,"Rajkot, India",en
93,2021-03-07 13:23:30,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,BeingsyedLateef,"RT Nagar, Bengaluru",en
94,2021-03-07 13:23:28,"RT @rchandawarkar: Walking thru Cubbon Park, Bengaluru! 
A Sunday walk through this park can reward you with a live, open-air, Bharat Natya…",roops_raj,"Pune, India",en
95,2021-03-07 13:23:20,"RT @BloodAid: #Bengaluru Need A+ #Blood @ Covid Convalescent Plasma donor @ Apollo Hospital, Sheshadripuram. 
Call 9844320487, 9900157557
#…",SAMFRANCISCONI,"Londrina, Brasil",en
96,2021-03-07 13:23:08,"RT @StarkAditya_: Kolkata Knight Riders

League game venues : 

5 games Chinnaswamy, Bengaluru.
4 games N. Modi Stadium, Ahmedabad.
3 games…",Santosh46126390,Raichur,en
97,2021-03-07 13:23:08,"RT @Ajith_tweets: Lovely people of Bengaluru, RCB will miss playing at the Chinnaswamy this year. ☹️😑
FYI: Punjab Kings and KKR to play 5 g…",Gokuliphone,"Adelaide, South Australia",en
98,2021-03-07 13:23:02,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",ShyamSu97646282,,en
99,2021-03-07 13:22:53,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",RamSing85269529,,en
100,2021-03-07 13:22:46,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",Divyesh84413537,,en
101,2021-03-07 13:22:14,RT @pavanaja: Bengaluru Techie Writes Open Letter To PM Modi To Stop Legal Extortion By Wives From Men &amp; Their Families via @MensDayOutIndi…,saviour_era,India,en
102,2021-03-07 13:22:08,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",AkshayK81995614,,en
103,2021-03-07 13:21:58,"RT @Bloodpointorg: #Bengaluru  #SOS #COVID19India
Need A+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Apollo Hospital,…",SAMFRANCISCONI,"Londrina, Brasil",en
104,2021-03-07 13:21:42,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,arunnane,,en
105,2021-03-07 13:21:06,RT @dhanyarajendran: Most of us living in Bengaluru travel by Metro and often question why Metro work is delayed. Let's sit back for a few…,SureshAbraham5,"Dubai, United Arab Emirates",en
